1495332083
                    extended device statistics              
    r/s    w/s   kr/s   kw/s wait actv wsvc_t asvc_t  %w  %b device
    0.9   14.8   95.6 1086.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013C1d0
    0.9   14.8   95.3 1081.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001406d0
    0.9   14.8   94.5 1079.2  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013F4d0
    0.9   14.8   96.0 1084.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013C3d0
    0.9   14.8   95.4 1083.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000138Cd0
    0.9   14.8   95.4 1084.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000138Ad0
    0.9   14.8   94.7 1078.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013A7d0
    0.9   14.8   94.7 1079.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013B1d0
    0.9   14.8   96.0 1080.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000138Fd0
    0.9   14.8   95.7 1079.8  0.0  0.1    0.0    3.5   0   5 c0t60060E8007DC48000030DC48000013ADd0
    0.9   14.8   95.5 1086.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013B2d0
    0.9   14.8   94.9 1084.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013CAd0
    0.9   14.8   94.7 1082.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013EAd0
    0.9   14.7   95.3 1075.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013D6d0
    0.9   14.8   95.6 1081.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013F7d0
    0.9   14.8   95.2 1080.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013A0d0
    0.9   14.8   95.4 1081.4  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013E1d0
    0.9   14.8   94.5 1080.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013CCd0
    0.9   14.8   95.3 1083.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013BDd0
    0.9   14.8   95.1 1077.2  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001392d0
    0.9   14.8   94.8 1084.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013CEd0
